date,acquirer,target,ev,ev_revenue,ev_ebitda,source
2025-05-05,3G Capital,Skechers U.S.A. Inc.,9400000000,,,"Skechers press release, 2025-05-05: 3G Capital to acquire Skechers for $63.00/share, ~$9.4B enterprise value"
2021-08-12,Authentic Brands Group,Reebok (from adidas AG),2500000000,,,"adidas AG press release, 2021-08-12: divestiture of Reebok to ABG for up to EUR 2.1B (~$2.5B)"
2020-11-09,VF Corporation,Supreme,2100000000,,,"VF Corporation press release, 2020-11-09: acquisition of Supreme for $2.1B"
2012-05-01,Wolverine World Wide (with Blum Capital & Golden Gate Capital),Collective Brands Performance + Lifestyle Group (Sperry / Saucony / Keds / Stride Rite),1230000000,,,"Wolverine World Wide press release, 2012-05-01: acquisition of Collective Brands' PLG for ~$1.23B"
2011-06-13,VF Corporation,The Timberland Company,2300000000,,,"VF Corporation press release, 2011-06-13: acquisition of Timberland for $43.00/share, ~$2.3B"
2024-12-17,Steven Madden Ltd.,Kurt Geiger (from Cinven),360000000,,,"Steve Madden press release, 2024-12-17: agreement to acquire Kurt Geiger for ~GBP 289M (~$360M)"
